,Sentence,Schema,Schema Slot,Slot Value,Pattern,Lexical Trigger,Target LM,Target CM,Source LM,Source CM,Sentence ID,Unnamed: 11,Unnamed: 12
305,"- Obama is continuing the process of transforming America into something that resembles Nazi Germany, with forced National Service, domestic civilian spies, warrantless wiretaps, the destruction of the Second Amendment, and Martial Law.",01 Health and Safety,Threatened,Second Amendment,,destruction,Second Amendment,Gun Rights,destruction,Natural Physical Force/Physical Harm,3766376,,
422,"They attack ""rich people"" while enjoying all the spoils of their luck, I have zero problems with earned wealth, but these clowns literally lucked out in life.",01 Health and Safety,Threatened,rich people,,attack,rich people,Wealth,attack,War,2110177,,
494,"Yes, being poor is a burden upon humanity in my opinion and it effects all of us.",02 Journey,Barrier,being poor,,burden,being poor,Poverty,burden,Physical Burden,2378407,,
1498,Democracy is a punishment for not having popular enough western leaning leaders.,06 Morality and Justice,Punishment,Democracy,,punishment,Democracy,Democracy,punishment,Crime,164139,,
1719,The indiosyncracy of the Govt. made it sure that the revolution did not spread to the masses and companies continue to invest in the hope that the dark clouds of regulation would give way to bright sunshine some day.,13 Nature: Weather,Weather,regulation,dark clouds of [weather],dark clouds of,regulation,Bureaucracy,dark clouds,Darkness,762280,,
1537,"If you believe that gun control is a failed experiment, then you believe the experiment should be ended.",07 Systematic Explanations,Failed Experiment,gun control,[failed experiment] is a failed experiment,failed experiment,gun control,Control of Guns,experiment,Science,,,
612,"Firstly, the loss of elections in Gagauzia does not imminently attract a major danger for quality of CPRM as dominant party in the Republic of Moldova.",03 Conflict,Conflict,elections,,loss,elections,Elections,loss,Competition/Game,2661651,,
35,The Arab Spring arose from the prescription of political reform as the democracy cure for what ails the Muslim world.,01 Health and Safety,Protection,democracy,,cure,democracy,Democracy,cure,Disease/Medicine,163975,,
1679,The Turk and Mongol invaders found and easily robbed the mountains of wealth heaped in Hindu temples and it is little wonder that they had so little difficulty in conquering a spiritual country that had lost its material strength.,12 High and Low,Scale,wealth,,mountains,wealth,Wealth,mountains,Hazardous Geographic Feature,3041549,,
743,"President Obama, a well-known opponent of guns, told The Daily Skid, ""I am just about sick and tired of people walking around shooting at people willy-nilly.",03 Conflict,Enemy,guns,,opponent,guns,Guns,opponent,Struggle,2378712,,
336,"By attacking the economic wealth generated by Ireland for Britain and the large Protestant landowners of Ireland, the Land League achieved victory where previous campaigns for rights in Ireland had failed.",01 Health and Safety,Threatened,wealth,,attacking,wealth,Wealth,attacking,Physical Harm/Struggle/War,118314,,
662,"[But] I am very concerned that this so-called revolution of democracy and equality is actually creating cultural anarchy and punishing people with real talent.""",03 Conflict,Conflict,democracy,,revolution,democracy,Democracy,revolution,Struggle/War,761351,,
310,Courting LBA political money by presidential candidates requires a willful disregard of the systemic degradation of representative democracy.,01 Health and Safety,Threatened,representative democracy,,degradation,representative democracy,Democracy,degradation,Physical Harm,1787299,,
1290,"The only thing that has shaped gun rights or gun restrictions, has been state and local laws through our jurisprudence.",05 Engineering and Business: Engineering,Built,gun rights,,shaped,gun rights,Gun Rights,shaped,Shape,3123825,,
1576,Poverty is the mother of crime.,10 Human Life Cycle and Family Relations,Child,crime,mother of [child],mother of,Poverty,Poverty,mother,Family,2669217,,
246,"Also, the living Constitution threatens the rights of the minority.",01 Health and Safety,Threat,Constitution,,threatens,Constitution,Government,threatens,Physical Harm,1973593,,
250,"More productive pursuits become the casualties of taxation, which then reinforces the bias in favour of land speculation.",01 Health and Safety,Threat,taxation,,casualties,taxation,Taxation,casualties,Physical Harm/War,159631,,
1341,"Poverty engenders a social environment characterized by hopelessness and disenfranchisement, leading to substance abuse and violence.",05 Engineering and Business: Resource,Extractor,Poverty,,engenders,Poverty,Poverty,engenders,Animal,159011,,
1240,"By combining sound economics with measures designed to strengthen democracy, equalize opportunity, enhance national security, protect human rights and foster competitiveness, we advocate policies designed to improve life for all of our citizens and ensure the long-term health of our environment.",05 Engineering and Business: Engineering,Built,democracy,,strengthen,democracy,Democracy,strengthen,Building/Strength,2668241,,
1586,"In Ethiopia, democracy is in its infancy and it must be nurtured along by its leaders.",10 Human Life Cycle and Family Relations,Entity,democracy,[entity] is in its infancy,infancy,democracy,Democracy,infancy,Life Stage,,,
1086,"Yet such is the power of democracy worship, this secular religion, to blind people to the evidence of their own eyes that virtually every Western leader favored one-man, one-vote democracy in Rhodesia.",04 Power and Control: God,God,democracy,,worship,democracy,Democracy,worship,A God,761396,,
1074,It may have not but in the case up here in Seattle everyone knew the gunman was a crzy nut including His family.I say that if the mental health sysyem would have acted and at least made it impossible for Him to buy guns the shooting may not have happened.If we stop just one mass killing it would be worth it it change the law and you cowboys could still but your sacred guns unless you where crazy.,04 Power and Control: God,God,guns,,sacred,guns,Guns,sacred,A God,2121284,,
138,Poverty Alleviation,01 Health and Safety,Threat,poverty,,alleviation,Poverty,Poverty,Alleviation,Disease/Medicine,2646956,,
51,Elbadawi and Sambanis (2000) have showed how democracy alleviates civil war.,01 Health and Safety,Protection,democracy,,alleviates,democracy,Democracy,alleviates,Medicine,1971995,,
996,And that is probably why gun control will win and has been slowly but surely.,03 Conflict,Winner,gun control,,win,gun control,Control of Guns,win,Competition/Game,2883754,,
1200,"Politicians continue to give bureaucracy its (usually unfunded) mandate, and then they, who often manufactured bureaucracy in the first place, are reduced to haphazardly bullying it since nothing else, from their perspective, appears to work.",05 Engineering and Business: Business,Product,bureaucracy,,manufactured,bureaucracy,Bureaucracy,manufactured,Factory,3119396,,
1155,"When this is the case, the government can provide that service instead by being a monopoly that can attain savings by using economies of scale.",04 Power and Control: Human,Servant,government,,provide,government,Government,provide,Business,2672668,,
342,The failure to defend taxation has its cost.,01 Health and Safety,Threatened,taxation,,defend,taxation,Taxation,defend,Protection,3121777,,
1023,Attributing the victory of the Obama campaign to the hundreds of thousands of supporters who came together to achieve change is a lie.,03 Conflict,Winner,Obama campaign,,victory,Obama campaign,Elections,victory,Competition/War,3119164,,
1183,"But a growing body of research has revealed an unfortunate aspect of the human psyche that would seem to disprove this notion, and imply instead that democratic elections produce mediocre leadership and policies.",05 Engineering and Business: Business,Business,Elections,,produce,elections,Elections,produce,Factory,2671507,,
298,So if we allow this inequity to continue and to destroy our democracy that is a blow for fledgeling democracies everywhere.,01 Health and Safety,Threatened,democracy,,destroy,democracy,Democracy,destroy,Natural Physical Force/Physical Harm,155561,,
574,"It is disturbing so many true American patriots want to take their democracy football and leave the field because, by a democratic vote in spite of all the millions spent, their guy lost.",03 Conflict,Aid,democracy,,football,democracy,Democracy,football,Game,761014,,
328,Epidemic: Guns kill twice as many kids as cancer does,01 Health and Safety,Threatened,kids,kill [threatened],kill,Guns,Guns,kill,Physical Harm,,,
1386,Gun control is a crime.,06 Morality and Justice,Crime,Gun control,,crime,Gun control,Control of Guns,crime,Crime,2377035,,
13,"In the early 1990s, the public appetite for gun control may have been motivated more strongly by inner-city crime rates, and by the threat of crime in general, and Clinton’s 1994 bill addressed a broader issue of crime and security, marrying things like cop funding and tougher penalties to the sizable pillar of gun control.",01 Health and Safety,Beneficial,gun control,appetite for [beneficial],appetite for,gun control,Control of Guns,appetite,Food,,,
87,"So that from this it may appear how much he sins in the Church, who, preferring himself and his children to Christ, preserves his wealth, and does not share an abundant estate with the poverty of the needy.",01 Health and Safety,Protection,wealth,,preserves,wealth,Wealth,preserves,Protection,135214,,
1495,Turning the Sandy Hook event into a gun control scapegoat is ridiculous.,06 Morality and Justice,Punished,the Sandy Hook event,,scapegoat,gun control,Control of Guns,scapegoat,Crime,2377040,,
341,Apparently the simple fact that some 80% of households have a gun and that only 12% of the population support less gun control has no influence on your false belief that gun owners will vote to defend their firearms.,01 Health and Safety,Threatened,firearms,,defend,firearms,Guns,defend,Protection,2673214,,
1642,"It envisions a Supreme Court standing (or rather enthroned) at the apex of government, empowered to decide all constitutional questions, always and everywhere `primary' in its role.""",12 High and Low,Level,HIGH,,apex,government,Government,apex,High Location,153104,,
281,"New York's pensions are the financial equivalent of the neutron bomb: kill taxpayers right away, but save the bill for future generations,"" Astorino said.",01 Health and Safety,Threatened,taxypayers,,kill,taxpayers,Taxation,kill,Crime,2378125,,
438,The government of Iraq today has advanced from the Hussein dictatorship and its partial democracy is one desirable development.,02 Journey,Agent,government,,advanced,government,Government,advanced,Forward Movement,2665491,,
255,"Darwinism doesn't involve the collateral damage of loose gun laws, nor the caustic social effects of an armed society",01 Health and Safety,Threat,gun laws,,collateral damage,gun laws,Control of Guns,collateral damage,Struggle,2668802,,
1207,Today's economic system produces poverty as a matter of course; attacks on unions and an already limited welfare state further exacerbate the situation.,05 Engineering and Business: Business,Product,poverty,,produces,poverty,Poverty,produces,Factory,3125011,,
431,"As federal gun control retreated, so too did symbolic state legislative attempts to nullify it",02 Journey,Agent,gun control,,retreated,gun control,Control of Guns,retreated,Backward Movement,2376921,,
441,Because of me six more people are active in gun rights advancement and each of them invite people to go to the range with us; we have one or two new shooters each time.,02 Journey,Agent,gun rights,,advancement,gun rights,Gun Rights,advancement,Forward Movement,2377385,,
324,There are two bills up in the State Senate in the next few days that will heavily impact your gun rights.,01 Health and Safety,Threatened,gun rights,,impact,gun rights,Gun Rights,impact,Physical Harm,2823917,,
1429,"This remains to be seen, since the SL government has been ruthlessly robbing Tamils of their lands and their homes.",06 Morality and Justice,Criminal,government,,robbing,government,Government,robbing,Crime/Theft,2832086,,
1310,Democracy for America is supporting four great Secretary of State candidates that will start restoring fairness to our elections.,05 Engineering and Business: Engineering,Component,Democracy,,supporting,Democracy,Democracy,supporting,Building,2664494,,
1713,This has sparked much debate in the already lit fire of gun control.,13 Nature: Fire,Fire,gun control,fire of [fire],fire of,gun control,Control of Guns,fire,Fire,2377284,,
1400,"Finally, poverty, various forms of exploitation, child abuse and trauma rob many children and youth of the quality of life envisioned in the Convention on the Rights of the Child.",06 Morality and Justice,Crime,poverty,,rob,poverty,Poverty,rob,Crime/Theft,2303108,,
645,"It was the first parliamentary election in which I voted; I can reveal that my vote went to Shirley Williams, fighting her last election in Cambridge on behalf of the SDP/Liberal Alliance.",03 Conflict,Conflict,election,,fighting,election,Elections,fighting,Struggle,2092203,,
1227,"Regardless, if I grow 10 tomatos, and you only grow 2, I have created more wealth than you have.",05 Engineering and Business: Engineering,Built,wealth,,created,wealth,Wealth,created,Building,2898681,,
713,"If the Arab world really supported the Palestinians, rather than uniting around hatred of the Israeli state - they would divert 1 days oil revenues to boosting the Palsetinian economy, to destroying the poverty caused by the extremists in their war agains moderate Islam, towards joint projects that would solve the problems.",03 Conflict,Enemy,poverty,,destroying,poverty,Poverty,destroying,Physical Harm,138624,,
1377,This money would increase revenues for fire protection and law enforcement.,05 Engineering and Business: Resource,Resource,money,,increase,money,Wealth,increase,Upward Movement,158545,,
196,And the job market won't recover until government reduces the burden it creates on production.,01 Health and Safety,Threat,government,,reduces,government,Bureaucracy/Government,reduces,Physical Burden,1971549,,
1174,Excellent point we need to show what gun control is really selling to the public - the CONSEQUENCES.,05 Engineering and Business: Business,Business,Gun control,[business] is selling,is selling,Gun control,Control of Guns,selling,Business,,,
1489,"For the Argentines whom we got to know, tyranny is not caused by the government, but those who stole the government and used it for negative purposes.",06 Morality and Justice,Property,government,,stole,government,Government,stole,Theft,2009724,,
845,The contradictions of Kenya -- where multiparty democracy competes with feudal tribalism -- could be said to be precisely those you would expect in a country racing at breakneck speed towards modernity.,03 Conflict,Side,Democracy,,competes,democracy,Democracy,competes,Competition/Game,760940,,
1154,"All were asking of our Government is to match our level of concern and make sure our taxes are supporting the clean energy solutions, not the problem.",04 Power and Control: Human,Servant,taxes,,supporting,taxes,Taxes,supporting,Building,124416,,
509,"The guns are supposed to be checked in, but once you open the gun door, well, shit happens.",02 Journey,Barrier,gun,,door,gun,Guns,door,Portal,3124098,,
32,"Some would have you believe that this legislation cures voter identity fraud, continued Wilson.",01 Health and Safety,Protection,legislation,[protection] cure(s),cures,legislation,Government,cures,Disease,153423,,
277,"Severson argues that Minnesota has a ""corrupt election system"" and told delegates it is ""time for a conservative secretary of state.""",01 Health and Safety,Threatened,election system,,corrupt,election system,Elections,corrupt,Contamination/Crime,2377879,,
1339,"You do realize, that when you distill government down to its most basic form, it is nothing more than a monopoly on force?",05 Engineering and Business: Resource,Change Type,IMPROVE,,distill,government,Government,distill,Resource,152731,,
407,you throw the term INSANE around a lot when the real insanity comes from the garment soiling gun haters who are either terrified of the fact that others make personal safety their individual responsibility or hate conservatives and think attacking gun rights is just punishment for us being against nanny state collectivism.,01 Health and Safety,Threatened,gun rights,,attacking,gun rights,Gun Rights,attacking,Struggle/War,2128433,,
1186,Gun control produces a net increase of crime.,05 Engineering and Business: Business,Business,Gun control,,produces,Gun control,Control of Guns,produces,Factory,3123408,,
1324,"I may be in a tiny minority, but I believe that Confucianism and democracy are wholly compatible, precisely because democracy greases the machinery, providing a simple means of overthrowing a corrupt leader without risking the stability of society.",05 Engineering and Business: Engineering,Facilitator,democracy,[facilitator] greases,greases,democracy,Democracy,greases,Machine,1973304,,
1122,Not sure if that qualifies as a gun myth but its certainly mythical (see what I did there?),04 Power and Control: God,Worshipper,gun,,myth,gun,Guns,myth,A God,3124591,,
500,"Once government gets involved, prices go up and bureaucracy burdens the system to an unsustainable degree.",02 Journey,Barrier,bureaucracy,,burdens,bureaucracy,Bureaucracy,burdens,Physical Burden,2377407,,
202,Apparently the rise in crime following gun control brought about new control measures to undo the damage of gun control.,01 Health and Safety,Threat,gun control,,damage,gun control,Control of Guns,damage,Physical Harm,2378676,,
158,"It's called ""Democracy"", and the bulwarks against the tyranny of the masses have been eroded something fierce since we were founded (we're a republic precisely b/c the founders of this nation saw how evil democracy is, as bad or worse than arbitrary divine right kings).",01 Health and Safety,Threat,democracy,,evil,democracy,Democracy,evil,Monster,1973308,,
903,» Norton resident uses hobby to fight poverty in Honduras,03 Conflict,Side,poverty,,fight,poverty,Poverty,fight,Struggle,1632374,,
1639,"The E100 is not quite the shiny, strokable wonder that was the Clix, but it does have a pared-back, elegant design that gives Apple a run for its (mountain of) money.",12 High and Low,Level,HIGH,,mountain,money,Wealth,mountain,Hazardous Geographic Feature,2633007,,
14,The money you spend on running shoes could feed me for a week Your plans are laid so well that you can't even sleep,01 Health and Safety,Beneficial,money,,feed,money,Wealth,feed,Food,2855368,,
457,"Like many beautiful ideas, however, democracy travels through our minds shadowed by its doubles – bad ideas that are close enough to easily mistaken for the real thing.",02 Journey,Agent,democracy,[agent] travels,travels,democracy,Democracy,travels,Journey,761556,,
69,"That's because higher taxes relieve the pressure to solve the spending problem, making the later solution even more expensive for taxpayers.",01 Health and Safety,Protection,taxes,,relieve,taxes,Taxation,relieve,Medicine,3121696,,
1084,"History has many examples of lives lost last century, sacrificed to this worship of gun control. politics TAGS: battaile",04 Power and Control: God,God,gun control,,worship,gun control,Control of Guns,worship,A God,2376887,,
884,"It's almost like the ""Taxation defends property and conscription protects freedom"" speech that I got when I was a kid, which was, to be polite, counterintuitive.",03 Conflict,Side,Taxation,,defends,Taxation,Taxation,defends,Protection/Struggle,158862,,
222,Perhaps our wealth harms us by skewing our perception of reality- causing us to lose touch with the normal needs of others less fortunate than us.,01 Health and Safety,Threat,wealth,,harms,wealth,Wealth,harms,Physical Harm,1973864,,
348,"In my last column I warned, and I say again, the NRA is not the intrinsic guardian of the 2nd amendment, or more apparently, of constitutional rights.",01 Health and Safety,Threatened,2nd amendment,,guardian,2nd amendment,Gun Rights,guardian,Protection,3123803,,
1737,"Actually, I think his position on gun control is a bit more nuanced I could be wrong, and it's clear he's received the NRA support for many years, but I heard him speak on the issue in an intelligent thoughtful manner--based on what I've heard, he's not opposed to sensible gun control tailored to the local area where the controls are being implemented.",14 Embodied Experience: Clothing,Clothing,gun control,[clothing] tailored,tailored,gun control,Control of Guns,tailored,Clothing,2377004,,
1231,"Yet, the lack of accountability and transparency reinforce a rigid bureaucracy that seems neither capable of budging, nor willing to try.",05 Engineering and Business: Engineering,Built,a rigid bureaucracy,reinforce [built],reinforce,bureaucracy,Bureaucracy,reinforce,Building/Strength,1030745,,
249,"The assault of wealth and power upon the government of this people is a Babel-builder's dream of unrestrained, money-maddened voices drowning out all reason.",01 Health and Safety,Threat,wealth,,assault,wealth,Wealth,assault,Physical Harm/War,2377910,,
313,Let us hope that our stunning technological powers are someday matched by the wisdom to stop destroying the unimaginable medicinal riches that undoubtedly still lie undiscovered in obscure little plants growing in the forests and grasslands and deserts and marshes of the earth.,01 Health and Safety,Threatened,riches,,destroying,riches,Wealth,destroying,Physical Harm,126588,,
775,"And the ILO has a tremendous interest in microcredit precisely because fighting poverty is at the heart of our mandate"", said Somavia.",03 Conflict,Enemy,poverty,,fighting,poverty,Poverty,fighting,Struggle/War,2001107,,
1234,"A new Constitution which reinforces popular sovereignty and participation, land laws for land reforms and the distribution of land to the landless, social missions to abolish illiteracy, provide health care, education and housing to the poor and steps to break the oligarchic power of the big business and landed elite have all attracted worldwide attention.",05 Engineering and Business: Engineering,Built,popular sovereignty,,reinforces,sovereignty,Democracy,reinforces,Building/Strength,2660392,,
1238,"We believe that all people have the right to freedom of expression and access to information, and that the full enjoyment of this right is the most potent force to achieve individual freedoms, strengthen democracy, and pre-empt repression, conflict, war and genocide.",05 Engineering and Business: Engineering,Built,democracy,,strengthen,democracy,Democracy,strengthen,Building/Strength,1947801,,
580,"A: In most places, real estate taxes trump just about anything else.",03 Conflict,Aid,real estate taxes,,trump,real estate taxes,Taxation,trump,Game,3121467,,
463,These measures would help close the wealth chasm.,02 Journey,Barrier,wealth,,chasm,wealth,Wealth,chasm,Abyss,762823,,
734,"; to spend your time on the range or in the field, rather than fighting ""gun control""?",03 Conflict,Enemy,gun control,,fighting,gun control,Control of Guns,fighting,Struggle,2620370,,
1062,The fact that the gun is a reverenced god can be seen in its manifold and apparently resistless powers.,04 Power and Control: God,God,gun,,god,gun,Guns,god,A God,2376878,,
810,"Paul Koning says: January 4, 2013 at 4:25 pm Interestingly, the notorious Miller case, which is often mentioned as a defeat of gun rights (because it upheld the short barrel ban) has some good points -- one of which is that it specifically said that military style weapons are protected by the 2nd amendment.",03 Conflict,Loser,gun rights,,defeat,gun rights,Gun Rights,defeat,Competition/Game/War,3123688,,
343,Thomas defended voluntary poverty as good because it frees people from vices related to wealth.,01 Health and Safety,Threatened,poverty,,defended,poverty,Poverty,defended,Protection,118521,,
1034,"He had discovered the secret of turning the victory of poverty, the victory of sorrow, the victory of defeat and disappointment, the victory of death, into an imperial triumph to his own moral and spiritual life.",03 Conflict,Winner,poverty,,victory,poverty,Poverty,victory,Game,2378211,,
1171,Do we not belong to the restaurant of Democracy?,05 Engineering and Business: Business,Business,Democracy,,restaurant,Democracy,Democracy,restaurant,Business,3118209,,
853,My point was that most gun-haters are ignorant to the point that they would oppose an imaginary gun.,03 Conflict,Side,gun,,oppose,gun,Guns,oppose,Competition/Struggle,2672603,,
1475,"On the other hand, maybe I should not bring up any of this, out of fear that someone will accuse Bush of stealing the election through the Census.",06 Morality and Justice,Property,election,,stealing,election,Elections,stealing,Theft,2393994,,
568,I mean if not being able to prove that a gun law reduces crime means that I can't prove no gun law reduces crime then there I am.,03 Conflict,Aid,gun law,,reduces,gun law,Control of Guns,reduces,Downward Movement,2710332,,
1056,"It is also not the objective of firearm organisations who could only bother to protect sports, shooting, guns, training - promoting and glorifying guns.",04 Power and Control: God,God,guns,,glorifying,guns,Guns,glorifying,A God,2116874,,
579,"After his ""Murderers Row"" comment, Cohen insisted that Republicans like their guns more than God: ""I think guns trump bibles on that side of the aisle.""",03 Conflict,Aid,guns,,trump,guns,Guns,trump,Game,3124555,,
118,"As the government overdoses on power, it reacts, takes over, advancing to levels of control that we would have resisted not too long ago.",01 Health and Safety,Threat,power,overdose on [threat],overdose,government,Government,overdoses,Addiction,152809,,
25,Wealth alleviates material misery of the subject and obviates to an extent the need for a support in the form of formal organized religion.,01 Health and Safety,Protection,Wealth,,alleviates,Wealth,Wealth,alleviates,Disease,1973822,,
1510,"Even if we low ball the numbers, defensive use of a firearm by otherwise lawful individuals is not as rare as criminal abuse of a firearm.",06 Morality and Justice,Victim,firearm,,abuse,firearm,Guns,abuse,Crime/Physical Harm,2885561,,
187,view all Wealth protects the rich;Poverty destroys the poor.But the rich and the poor have this in common:The lord made them both.,01 Health and Safety,Threat,Poverty,,destroys,Poverty,Poverty,destroys,Natural Physical Force/Physical Harm,158780,,
1011,Barack Obama's historical win to become president also made history at the world's biggest ad competition where his election campaign won one of the most coveted Cannes awards.,03 Conflict,Winner,election campaign,,won,election campaign,Elections,won,Competition/Game,3118906,,
1514,"For years, the draconian ordinance supported by Mell and enforced by Daley has terrorized Chicago gun owners.",06 Morality and Justice,Victim,gun owners,,terrorized,gun owners,Guns,terrorized,Emotion Experiencer/Monster,2773272,,
309,"But in general people greatly over-do the caution and doubt thing, to the great damage of democracy, my main point in #24 above.",01 Health and Safety,Threatened,democracy,,damage,democracy,Democracy,damage,Physical Harm,3118430,,
1397,"The American gun owner will surely endure Draconian gun laws and confiscations, the ATF will get more funding and the anti-gun bigots will continue to dance in the blood of gun control victims.",06 Morality and Justice,Crime,gun control,[crime] victims,victims,gun control,Control of Guns,victims,Crime,2377041,,
1354,The official poverty rate does not capture the depth of their economic problems.,05 Engineering and Business: Resource,Extractor,poverty rate,,capture,poverty rate,Poverty,capture,Forceful Extraction,3048729,,
964,"Bruce Springsteen and Pete Seeger have recorded the folk classic ""Hobo's Lullaby"" for ""Give US Your Poor,"" a multi-artist CD devoted to fighting homelessness.Appleseed Recordings will release the disc Sept. 25.",03 Conflict,Side,homelessness,,fighting,homelessness,Poverty,fighting,Struggle/War,1958542,,
1469,Franken was accused of trying to steal the election.,06 Morality and Justice,Property,election,,steal,election,Elections,steal,Theft,2797331,,
1272,"Restoring the right to vote strengthens democracy by increasing voter participation, helps people reintegrate into their communities after serving sentences, and gives those convicted a political voice.",05 Engineering and Business: Engineering,Built,democracy,,strengthens,democracy,Democracy,strengthens,Building/Strength,2432839,,
105,"Comment pages: « Previous 1 2 Goodbye Hillary and the Clinton lying machine, but for God's sake don't drop out of your life long addiction of campaigning for ultimate power.",01 Health and Safety,Threat,campaigning,,addiction,campaigning,Elections,addiction,Addiction,3118479,,
68,The 2ND AMENDMENT relief should never be sought: it is an avenue when all law and other means of recourse fails us.,01 Health and Safety,Protection,2ND AMENDMENT,,relief,2ND AMENDMENT,Gun Rights,relief,Medicine,3123759,,
1472,I for one am furious about the criminals running things setting up a scheme to steal our second amendment.,06 Morality and Justice,Property,second amendment,,steal,second amendment,Gun Rights,steal,Theft,3721667,,
1191,"Meanwhile, those who benefit from the structures which produce poverty continue to benefit.",05 Engineering and Business: Business,Product,poverty,,produce,poverty,Poverty,produce,Building,159444,,
681,The authors challenge the U.S. government to lead the tax competition battle in the international marketplace.,03 Conflict,Conflict,tax,,battle,tax,Taxation,battle,War,2952343,,
52,An output tax alleviates the consumption and production distortions which arise in the absence of a perfect insurance market.,01 Health and Safety,Protection,tax,,alleviates,tax,Taxation,alleviates,Medicine,158649,,
1446,"However, guns destroy the natural order of things.",06 Morality and Justice,Criminal,guns,,destroy,guns,Guns,destroy,Physical Harm,3124050,,
397,"On the other side of the paradox, more people keeping and bearing arms means there's a larger constituency to fight new gun control, so I'm not certain it really helps our opponents any.",01 Health and Safety,Threatened,gun control,,fight,gun control,Control of Guns,fight,Struggle,2875474,,
570,At some point more white kids will eventually be killed and yet another opportunity will present itself to knock the gun control baseball out of the park.,03 Conflict,Aid,gun control,[aid] baseball,baseball,gun control,Control of Guns,baseball,Game,2377440,,
985,"In 1962 â€“ prior to Lyndon Johnson's War on Poverty â€“ The ""Gray Areas Project"" was the first attempt to combat poverty across America.",03 Conflict,Side,poverty,,combat,poverty,Poverty,combat,War,2673820,,
650,Their visual differences spoke volumes of the racial and class cleavages that have define the historical struggle of democracy in Bolivia.,03 Conflict,Conflict,democracy,,struggle,democracy,Democracy,struggle,Struggle,632105,,
